Charging event,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model
7309516,50263,1,04/06/2018,10:17,04/06/2018,10:48,1.5,0.0,"Whitfield Centre, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309515,51198,1,04/06/2018,10:17,04/06/2018,11:46,5.21,0.0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet
7309504,51548,2,04/06/2018,10:13,04/06/2018,10:32,8.676,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309496,51356,2,04/06/2018,10:09,04/06/2018,10:51,1.41,0.0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309494,50911,2,04/06/2018,10:09,04/06/2018,10:17,2.74,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309479,51547,2,04/06/2018,10:03,04/06/2018,10:50,17.838,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309472,50911,2,04/06/2018,10:01,04/06/2018,10:02,0.7,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309470,51550,3,04/06/2018,10:00,04/06/2018,10:32,19.675,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309455,51550,2,04/06/2018,09:54,04/06/2018,10:20,15.15,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309439,50272,2,04/06/2018,09:50,04/06/2018,10:22,2.82,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309432,51548,2,04/06/2018,09:48,04/06/2018,10:12,10.017,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309431,50692,2,04/06/2018,09:47,04/06/2018,10:42,11.72,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309418,51088,1,04/06/2018,09:44,04/06/2018,12:55,31.808,0.0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309409,50677,2,04/06/2018,09:41,04/06/2018,10:47,3.21,0.0,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309410,51549,2,04/06/2018,09:41,04/06/2018,10:17,7.694,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
